"","rawp","q.value","Bonferroni","R.fold"
"EBI3",0,0,0,1.78005656263013
"GMIP",0,0,0,1.78000392674489
"PTAFR",0,0,0,1.77706038848452
"ATP8B2",0,0,0,1.77703526807173
"CBFA2T3",0,0,0,1.77658696985494
"FASLG",0,0,0,1.77630409408311
"CD74",0,0,0,1.77562647160123
"IFNAR2",0,0,0,1.77324989999481
"CCL19",0,0,0,1.77252545301993
"NELL2",0,0,0,1.77202310812137
"FXYD5",0,0,0,1.77185314785683
"BRD2",0,0,0,1.76772957716063
"JAK3",0,0,0,1.76724511866333
"LAIR2",0,0,0,1.76502576861879
"DDX60",0,0,0,1.76476677545726
"CD7",0,0,0,1.76360243055665
"NDC80",0,0,0,1.76311006103566
"PRPF38B",0,0,0,1.76224002526639
"FAR2",0,0,0,1.75902017641582
"ARPC1B",0,0,0,1.75835303877253
"MAP3K3",0,0,0,1.75834941447774
"CKLF",0,0,0,1.75797445426449
"MS4A1",0,0,0,1.75783386349058
"ARNTL2",0,0,0,1.75621307922396
"TNFSF8",0,0,0,1.75446324170328
"RRM2",0,0,0,1.75373194008786
"EGR1",0,0,0,1.75190520932282
"GRK3",0,0,0,1.75167088035856
"SIDT1",0,0,0,1.75084913863566
"APBB1IP",0,0,0,1.74973630547364
"APOBEC3C",0,0,0,1.74959712049567
"CD40LG",0,0,0,1.7482395868831
"BTN2A1",0,0,0,1.74794306303692
"MICALL2",0,0,0,1.74741849073595
"PSME1",0,0,0,1.7464847381339
"TES",0,0,0,1.74638962291198
"ZBP1",0,0,0,1.74588638992371
"SDCBP",0,0,0,1.74548350385509
"CD72",0,0,0,1.74548229775664
"TGFBI",0,0,0,1.74422384449939
"MTMR14",0,0,0,1.74329528402446
"CARD8",0,0,0,1.74304429314497
"DENND1C",0,0,0,1.74239717194201
"TSPAN32",0,0,0,1.7397207234989
"RASA2",0,0,0,1.73971197326922
"ST8SIA1",0,0,0,1.73814596165412
"CCL8",0,0,0,1.73702165208373
"SERPINB1",0,0,0,1.73620963938078
"DUSP8",0,0,0,1.73578472892361
"IRF4",0,0,0,1.73526639075279
"FPR3",0,0,0,1.7351288866047
"TCIM",0,0,0,1.73505704050557
"BLM",0,0,0,1.73263421169958
"CD79B",0,0,0,1.73097171827541
"GNA13",0,0,0,1.72706216742899
"BCL11A",0,0,0,1.72641206216836
"WFDC2",0,0,0,1.72593419146136
"ELF1",0,0,0,1.72581194008831
"C2CD2",0,0,0,1.72404254187544
"RAB31",0,0,0,1.72298895241572
"LIMD2",0,0,0,1.72189114061841
"CCNA2",0,0,0,1.7196007691597
"ELF3",0,0,0,1.71954460030772
"FOLR2",0,0,0,1.71948655217782
"CYTH4",0,0,0,1.71866983481393
"MYB",0,0,0,1.71823476231978
"NXF1",0,0,0,1.71791096635639
"LDLR",0,0,0,1.71763235527472
"SEPT6",0,0,0,1.71577512363386
"TTC13",0,0,0,1.71560699034607
"CHST11",0,0,0,1.71542873586153
"CAV1",0,0,0,1.71540045725244
"CCDC69",0,0,0,1.71531690775186
"DNMT1",0,0,0,1.71501879350612
"JAK2",0,0,0,1.7105473356002
"LPAR6",0,0,0,1.71008926275744
"MYD88",0,0,0,1.70690210613686
"VAMP5",0,0,0,1.70675365454861
"FSCN1",0,0,0,1.70633955007162
"MIS12",0,0,0,1.70426291299059
"TRAFD1",0,0,0,1.70177248608447
"BMP2",0,0,0,1.7014755974355
"STX11",0,0,0,1.70103887533228
"EED",0,0,0,1.70083380719438
"RASGRP1",0,0,0,1.70070944606159
"LUM",0,0,0,1.70058634320057
"SERPING1",0,0,0,1.70050885963765
"RFX5",0,0,0,1.69983355499856
"RBM15",0,0,0,1.699359085677
"PILRA",0,0,0,1.6986520110058
"VPS13C",0,0,0,1.69859384711818
"LPAR1",0,0,0,1.69726336019143
"IRF9",0,0,0,1.69660496130924
"NCAPG",0,0,0,1.6958314066704
"TRAF1",0,0,0,1.69482668039832
"CH25H",0,0,0,1.69392184684663
"SPN",0,0,0,1.69334012558552
"HERC5",0,0,0,1.69202796804651
"LOXL1",0,0,0,1.69136802793234
"MSX1",0,0,0,1.69052507927726
"TNFRSF25",0,0,0,1.69026240474583
"CD3E",0,0,0,1.6901711116227
"CYLD",0,0,0,1.68968309173411
"RAP2B",0,0,0,1.68963491986664
"TUT7",0,0,0,1.68912207543655
"MTHFD2",0,0,0,1.68801020232869
"CD80",0,0,0,1.68663534203911
"VSIG4",0,0,0,1.68632060022354
"S100A6",0,0,0,1.68574208593328
"UBA7",0,0,0,1.68222645674031
"ANXA2",0,0,0,1.68172598022699
"CSF1R",0,0,0,1.68013517621799
"CAMK4",0,0,0,1.67681372780083
"KCNJ2",0,0,0,1.67648154344133
"N4BP2L1",0,0,0,1.67633221800179
"S100PBP",0,0,0,1.67347362063343
"REEP4",0,0,0,1.67344000892712
"APOL6",0,0,0,1.67022575035923
"DLGAP5",0,0,0,1.6682089729193
"RSRP1",0,0,0,1.66807055316035
"SOX4",0,0,0,1.66792417266946
"ATAD2",0,0,0,1.66751303262039
"CENPU",0,0,0,1.66747276087584
"CD19",0,0,0,1.66687771175768
"IRAK3",0,0,0,1.66672951274851
"CCND3",0,0,0,1.66658439622441
"FILIP1L",0,0,0,1.66653097076027
"UCP2",0,0,0,1.66458912444576
"PLXNC1",0,0,0,1.66453025867034
"NUSAP1",0,0,0,1.66404752479886
"STK26",0,0,0,1.66303643544333
"FLI1",0,0,0,1.66196620397219
"ERAP2",0,0,0,1.6613137052118
"CXCR3",0,0,0,1.66070591760819
"RSAD2",0,0,0,1.65988436225891
"PABPC4",0,0,0,1.65970337552761
"LMNB1",0,0,0,1.65930682662553
"C1R",0,0,0,1.65830752284974
"HELLS",0,0,0,1.65749815502528
"FKBP11",0,0,0,1.65567463463352
"CD4",0,0,0,1.65531460437107
"ARAP2",0,0,0,1.65520485416598
"CCL18",0,0,0,1.65505019666377
"PCLAF",0,0,0,1.65472465532313
"ITM2A",0,0,0,1.65344784887509
"ZNF266",0,0,0,1.65257027868888
"MCM7",0,0,0,1.65173925512405
"CLIC3",0,0,0,1.65166732847604
"ARHGAP22",0,0,0,1.64985989019695
"TENT5C",0,0,0,1.64978872965993
"KLRG1",0,0,0,1.64773556483029
"HECA",0,0,0,1.64736232834867
"DOK3",0,0,0,1.64595578640433
"GNPTAB",0,0,0,1.64497669134167
"ASAP1",0,0,0,1.64409113463308
"CD47",0,0,0,1.64268269724469
"HIST1H3D",0,0,0,1.64205208376447
"PTGER4",0,0,0,1.64113960934037
"SLC15A3",0,0,0,1.64061527042435
"TRA2A",0,0,0,1.64005511790928
"DTL",0,0,0,1.63962487275799
"DCLRE1C",0,0,0,1.63884977833134
"ZNF165",0,0,0,1.63803651724348
"ACAP1",0,0,0,1.63735383529183
"RASGRP2",0,0,0,1.63733557711303
"KIF20A",0,0,0,1.6364166933423
"TOP2A",0,0,0,1.63571678771097
"ELK3",0,0,0,1.63562164971578
"VPS37B",0,0,0,1.63549296826336
"GSDMB",0,0,0,1.63544186915418
"TCF4",0,0,0,1.63518521217465
"MFNG",0,0,0,1.63486088093889
"CBLB",0,0,0,1.63474222103996
"TRIM56",0,0,0,1.63348557445725
"VCAN",0,0,0,1.63023360411599
"LTF",0,0,0,1.629508279675
"MDK",0,0,0,1.62915699796966
"IFNGR2",0,0,0,1.62915645063742
"CEBPA",0,0,0,1.62831425398563
"IFI27",0,0,0,1.62819676128479
"BUB1",0,0,0,1.62806980468765
"TNC",0,0,0,1.62644798411446
"NNMT",0,0,0,1.62527629166977
"CD244",0,0,0,1.62509356615819
"CEP55",0,0,0,1.62488989162244
"COL3A1",0,0,0,1.62386120629692
"ADAP2",0,0,0,1.62285781886417
"RHOG",0,0,0,1.62264651270156
"PLXND1",0,0,0,1.62261015918487
"IRF2",0,0,0,1.62224868356586
"ISG15",0,0,0,1.62224174249959
"IMPDH1",0,0,0,1.62109374820058
"SNW1",0,0,0,1.62073661677137
"MMP7",0,0,0,1.62050199717846
"CARD9",0,0,0,1.61909898452465
"GNAI2",0,0,0,1.61904286629556
"IL12B",0,0,0,1.61862506595129
"CD79A",0,0,0,1.61840524465847
"CHFR",0,0,0,1.61663010598548
"AKAP13",0,0,0,1.61471275912938
"OAS3",0,0,0,1.61390274883014
"MEOX1",0,0,0,1.61332760588721
"TDO2",0,0,0,1.61326664149563
"OLFML2B",0,0,0,1.61166499426771
"UBE2C",0,0,0,1.61067852557836
"KPNB1",0,0,0,1.61053088807728
"CP",0,0,0,1.61036798311609
"PDCD4",0,0,0,1.60856047877386
"TYMP",0,0,0,1.60849227575409
"CBR3",0,0,0,1.60826160803562
"TSC22D2",0,0,0,1.60811615863036
"FAM111A",0,0,0,1.60665570139544
"NECAP2",0,0,0,1.60571053876432
"PIK3IP1",0,0,0,1.60430457978636
"GFOD1",0,0,0,1.6036544038015
"GZMM",0,0,0,1.60351276668026
"CYTH1",0,0,0,1.60332448364562
"ATM",0,0,0,1.6030466022808
"INPP4B",0,0,0,1.60263985170418
"DENND2D",0,0,0,1.60204307497202
"STK4",0,0,0,1.60157482551728
"LAP3",0,0,0,1.60133437604874
"TNFRSF4",0,0,0,1.60087426753213
"EMP3",0,0,0,1.60021587972444
"ADRA2A",0,0,0,1.60007262198938
"PIM1",0,0,0,1.59987341102155
"C21orf91",0,0,0,1.59971124785551
"LY96",0,0,0,1.59950291862385
"MSL3",0,0,0,1.59927518464094
"PTGER2",0,0,0,1.59901071875947
"RPS11",0,0,0,1.59898459078499
"CLEC4E",0,0,0,1.59854949795582
"TPX2",0,0,0,1.59793469158823
"C1S",0,0,0,1.59736586368254
"FES",0,0,0,1.59660446426984
"XBP1",0,0,0,1.5948527318513
"MCAM",0,0,0,1.59461109969287
"LBH",0,0,0,1.59378322025077
"CENPA",0,0,0,1.59349213293033
"BCL10",0,0,0,1.59321777181713
"SH3BGRL3",0,0,0,1.59272261524746
"NDEL1",0,0,0,1.59217165854866
"IER2",0,0,0,1.59190133150306
"CD1E",0,0,0,1.59163350259083
"TRIM21",0,0,0,1.5911309741359
"CMKLR1",0,0,0,1.59051554552645
"GNA15",0,0,0,1.5900571637434
"ERAP1",0,0,0,1.5897821166529
"SAMD9",0,0,0,1.58959090945852
"ETS1",0,0,0,1.58930414575014
"GPSM3",0,0,0,1.588701319351
"ARPC5",0,0,0,1.58710683968651
"PLSCR1",0,0,0,1.58670583596895
"KIF14",0,0,0,1.58649838614183
"PMP22",0,0,0,1.58647721908761
"ZBED2",0,0,0,1.58630475568094
"TUBA1A",0,0,0,1.5858107363845
"PRR5L",0,0,0,1.58571365674054
"CD226",0,0,0,1.58554090043118
"TMEM156",0,0,0,1.58506788709851
"PMCH",0,0,0,1.58481651050981
"RNF19A",0,0,0,1.58461756756785
"CCNE2",0,0,0,1.58448830246693
"RBMS1",0,0,0,1.58444775408824
"TAPBPL",0,0,0,1.58417676805676
"PDLIM1",0,0,0,1.58382954360661
"CDKN1B",0,0,0,1.58365373781868
"BCL6",0,0,0,1.58324909963133
"CD6",0,0,0,1.58174635009064
"LFNG",0,0,0,1.58157241253007
"NAGK",0,0,0,1.58039514341549
"RIPK4",0,0,0,1.57852985579888
"NABP1",0,0,0,1.57736643887764
"HIST1H2BG",0,0,0,1.57670042918767
"NTM",0,0,0,1.57639660051845
"SAT1",0,0,0,1.57598706784946
"TIPARP",0,0,0,1.57538385804659
"FNTA",0,0,0,1.57536562691068
"HSP90AA1",0,0,0,1.57456348870111
"NR3C1",0,0,0,1.57382184600721
"ZNF217",0,0,0,1.57327554684775
"CCND2",0,0,0,1.57271228082248
"TSC22D3",0,0,0,1.5722416791735
"TNIP3",0,0,0,1.57191221062494
"KIF4A",0,0,0,1.57120380169128
"TAPBP",0,0,0,1.56919609559832
"PRC1",0,0,0,1.56853572969406
"PRKD2",0,0,0,1.56819464473869
"CDKN2AIP",0,0,0,1.56647593499748
"BACH2",0,0,0,1.56642363336483
"BATF3",0,0,0,1.56609817071058
"PABPC3",0,0,0,1.566033054445
"H2AFX",0,0,0,1.56234495633723
"SELE",0,0,0,1.56216495317583
"UBE2E1",0,0,0,1.56174540821415
"CST3",0,0,0,1.56169458957497
"HHEX",0,0,0,1.56125913684542
"FCRL2",0,0,0,1.56038948935382
"TIMP2",0,0,0,1.55960415179497
"HDC",0,0,0,1.55941958515413
"SLC16A6",0,0,0,1.55881788113089
"C3",0,0,0,1.55828045823585
"KIF11",0,0,0,1.55739121053998
"IL7",0,0,0,1.55707654499041
"KLF11",0,0,0,1.55682228869604
"NINJ2",0,0,0,1.55679518467679
"NPDC1",0,0,0,1.55666889217996
"TMC6",0,0,0,1.55608341645971
"MMP9",0,0,0,1.5560110673528
"IL1B",0,0,0,1.55480441004403
"IL27RA",0,0,0,1.55471949596685
"SSR2",0,0,0,1.5546296552364
"PNOC",0,0,0,1.55384537352662
"GAS7",0,0,0,1.55366867997353
"MYO9B",0,0,0,1.55296802422579
"CCL11",0,0,0,1.55293404067595
"AGBL2",0,0,0,1.55212726040208
"GEM",0,0,0,1.55160140526876
"GTF2B",0,0,0,1.55096696727123
"SETX",0,0,0,1.55092220859966
"NFKB1",0,0,0,1.55058188441209
"PBK",0,0,0,1.54964689464951
"SELP",0,0,0,1.54915174631252
"ZEB2",0,0,0,1.54855891219729
"ORC6",0,0,0,1.54799812234855
"TIMP1",0,0,0,1.54778926238824
"BLK",0,0,0,1.547450754975
"GLA",0,0,0,1.54694852730302
"DUSP22",0,0,0,1.54549388520759
"KBTBD2",0,0,0,1.54525509040521
"IL2RA",0,0,0,1.54518641527377
"FBXO5",0,0,0,1.54513589998582
"KIF15",0,0,0,1.54475812460652
"MGAT1",0,0,0,1.544698387366
"TOB2",0,0,0,1.54406523088899
"ASPM",0,0,0,1.54363837798256
"ADAMTS1",0,0,0,1.54315860152148
"CITED2",0,0,0,1.54298474380624
"CENPM",0,0,0,1.54256655474669
"CDH5",0,0,0,1.54253432813865
"CDC25B",0,0,0,1.54073649860903
"ASTE1",0,0,0,1.54072183566658
"FANCL",0,0,0,1.54059532892785
"GLUL",0,0,0,1.54057029039094
"NFATC1",0,0,0,1.54002934890541
"HLX",0,0,0,1.53990828980693
"MAD2L1",0,0,0,1.53983884520386
"CCL13",0,0,0,1.5397958540719
"WASF2",0,0,0,1.53892003862524
"ATG12",0,0,0,1.53871960161583
"GALNT6",0,0,0,1.53816749646315
"MELK",0,0,0,1.53744022017653
"CHORDC1",0,0,0,1.53732117449332
"KIF2C",0,0,0,1.53660844532242
"SPRY1",0,0,0,1.53635950777191
"NPAT",0,0,0,1.53602363325088
"LIPA",0,0,0,1.53550835961287
"APBA2",0,0,0,1.53504876402479
"FHL2",0,0,0,1.5343886218144
"QPCT",0,0,0,1.53300864388222
"CXCL6",0,0,0,1.53275772837775
"EDN1",0,0,0,1.53248590865873
"LHFPL2",0,0,0,1.53166749409348
"NXPE3",0,0,0,1.53084475381165
"IL6",0,0,0,1.52863482387393
"SMC4",0,0,0,1.52786386356828
"CNOT2",0,0,0,1.52785617903892
"MX1",0,0,0,1.52736379132843
"COL4A1",0,0,0,1.52675305562039
"INPP4A",0,0,0,1.52644134007281
"INHBA",0,0,0,1.52618051147231
"MYOF",0,0,0,1.52614094981171
"FAS",0,0,0,1.5259905557451
"H1FX",0,0,0,1.52530175029307
"VRK2",0,0,0,1.52521269645368
"ARGLU1",0,0,0,1.52478536972008
"FRAT2",0,0,0,1.52456779900502
"NFE2L3",0,0,0,1.52444340342779
"IL12A",0,0,0,1.5244225274102
"CYBC1",0,0,0,1.52402704282643
"ARID5A",0,0,0,1.52342480413556
"FBN2",0,0,0,1.52218860209634
"CALHM2",0,0,0,1.52215745394788
"CCNB2",0,0,0,1.52193921807412
"SPHK1",0,0,0,1.52151296896603
"MAP7D1",0,0,0,1.52136532398508
"ABCA7",0,0,0,1.52071518624527
"FBXW7",0,0,0,1.52029374067288
"TOPBP1",0,0,0,1.51999377026401
"EFEMP1",0,0,0,1.51988885055842
"LBR",0,0,0,1.5184952651406
"FNBP4",0,0,0,1.51786187891636
"CHI3L2",0,0,0,1.51770830411751
"CDK1",0,0,0,1.51763159935006
"RARRES3",0,0,0,1.51611087486473
"KCNMA1",0,0,0,1.5159483940627
"TICAM1",0,0,0,1.51481620678724
"GRB2",0,0,0,1.51462833833176
"MYCBP2",0,0,0,1.51459376014279
"TM6SF1",0,0,0,1.51401445109864
"CENPE",0,0,0,1.51383525083264
"TSPAN13",0,0,0,1.51264486648248
"BCAT1",0,0,0,1.51257381490142
"STAT5A",0,0,0,1.51250663290863
"CCNB1",0,0,0,1.51183389643492
"MCM5",0,0,0,1.51143734902437
"DENND5A",0,0,0,1.51094099219271
"ZNF211",0,0,0,1.51070651435298
"BMP2K",0,0,0,1.50972453484302
"ARHGAP17",0,0,0,1.50859729684422
"NEDD9",0,0,0,1.50832738358524
"DEGS1",0,0,0,1.50804227393207
"OSER1",0,0,0,1.50788459516941
"APOBEC3F",0,0,0,1.50788157890618
"CPVL",0,0,0,1.50718092546949
"ITPKC",0,0,0,1.50618707162704
"LHFPL6",0,0,0,1.50449832868638
"NAP1L1",0,0,0,1.50424810742371
"IL4R",0,0,0,1.50413412619091
"C5AR1",0,0,0,1.50355445200569
"PAK3",0,0,0,1.50271747596656
"BUB1B",0,0,0,1.50206432707982
"HIVEP3",0,0,0,1.50116616653209
"CD14",0,0,0,1.50105812943654
"WDR82",0,0,0,1.50040446182813
"ABCC1",0,0,0,1.50023789286204
